image path,green_players alive,green_ability_count,green_ult_points,green_ults,red_players_alive,red_ability_count,red_ult_points,red_ults,green_win
output/screenshots\1718764695.8257341.png,5,14,7,1,7,14,7,1,1
output/screenshots\1718764696.5714946.png,5,14,7,0,6,14,7,0,1
output/screenshots\1718764697.3025775.png,5,14,7,1,7,14,7,1,1
output/screenshots\1718764698.0418315.png,5,14,7,1,5,14,7,1,1
output/screenshots\1718764698.7728994.png,5,14,7,1,5,14,7,1,1
output/screenshots\1718764699.518383.png,5,14,7,1,5,14,7,1,1
output/screenshots\1718764700.2716963.png,5,14,7,1,5,14,7,1,1
output/screenshots\1718764701.0034554.png,5,14,7,1,5,14,7,1,1
output/screenshots\1718764701.8033924.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764702.571429.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764703.3123171.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764704.0510972.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764704.7823727.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764705.549029.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764706.2845678.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764707.0171778.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764707.7915084.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764708.5322285.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764709.291226.png,5,15,7,0,5,15,7,0,1
output/screenshots\1718764710.0274675.png,5,13,7,0,6,13,7,0,1
output/screenshots\1718764710.7970982.png,5,13,7,0,5,13,7,0,1
output/screenshots\1718764711.5211685.png,5,13,7,0,5,13,7,0,1
output/screenshots\1718764712.2909162.png,5,13,7,0,5,13,7,0,1
output/screenshots\1718764713.048763.png,5,13,7,0,6,13,7,0,1
output/screenshots\1718764713.7879388.png,5,13,7,0,6,13,7,0,1
output/screenshots\1718764714.5333436.png,5,13,7,0,5,13,7,0,1
output/screenshots\1718764715.2708442.png,5,13,7,0,5,13,7,0,1
output/screenshots\1718764716.002298.png,5,13,7,0,5,13,7,0,1
output/screenshots\1718764716.7023613.png,6,14,7,0,5,14,7,0,1
output/screenshots\1718764717.5019789.png,5,13,8,0,3,13,8,0,1
output/screenshots\1718764718.2481897.png,5,13,9,0,3,13,9,0,1
output/screenshots\1718764718.9910588.png,5,14,9,0,3,14,9,0,1
output/screenshots\1718764719.7139852.png,5,14,9,0,3,14,9,0,1
output/screenshots\1718764720.4541106.png,5,13,9,0,3,13,9,0,1
output/screenshots\1718764721.2169828.png,5,12,9,0,3,12,9,0,1
output/screenshots\1718764721.9458413.png,5,14,9,0,3,14,9,0,1
output/screenshots\1718764722.673394.png,5,13,9,0,3,13,9,0,1
output/screenshots\1718764723.443486.png,5,13,9,0,3,13,9,0,1
output/screenshots\1718764724.1932786.png,5,12,9,0,3,12,9,0,1
output/screenshots\1718764724.9329507.png,5,12,9,0,3,12,9,0,1
output/screenshots\1718764725.676506.png,5,12,9,0,3,12,9,0,1
output/screenshots\1718764726.4025743.png,5,11,9,0,3,11,9,0,1
output/screenshots\1718764727.1359754.png,5,12,9,0,3,12,9,0,1
output/screenshots\1718764727.878755.png,5,11,11,0,1,11,11,0,1
output/screenshots\1718764728.5997627.png,5,11,11,0,0,11,11,0,1
output/screenshots\1718764729.3419838.png,5,12,4,1,0,12,4,1,1
output/screenshots\1718764758.0558796.png,5,13,4,1,5,13,4,1,0
output/screenshots\1718764758.6917243.png,5,13,4,1,5,13,4,1,0
output/screenshots\1718764759.2924175.png,5,12,4,0,5,12,4,0,0
output/screenshots\1718764759.9465787.png,5,12,4,0,5,12,4,0,0
output/screenshots\1718764760.631122.png,5,12,4,0,5,12,4,0,0
output/screenshots\1718764761.2934575.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764761.973636.png,5,12,4,0,5,12,4,0,0
output/screenshots\1718764762.678245.png,5,12,4,0,5,12,4,0,0
output/screenshots\1718764763.3443284.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764764.0321445.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764764.6910272.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764765.3547738.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764766.0113242.png,5,12,4,0,5,12,4,0,0
output/screenshots\1718764766.6862826.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764767.345885.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764768.0056543.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764768.678014.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764769.336502.png,5,1,0,0,5,1,0,0,0
output/screenshots\1718764769.9833758.png,5,11,4,0,5,11,4,0,0
output/screenshots\1718764770.6378908.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764771.3089478.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764771.9601107.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764772.6036515.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764773.254442.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764773.9635532.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764774.6293514.png,7,10,4,0,7,10,4,0,0
output/screenshots\1718764775.3135407.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764775.9850788.png,5,10,4,0,5,10,4,0,0
output/screenshots\1718764776.6534138.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764777.3022141.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764777.964839.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764778.6391358.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764779.3083138.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764779.9596937.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764780.6123934.png,5,9,4,0,5,9,4,0,0
output/screenshots\1718764781.2751675.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764781.942944.png,4,7,3,0,4,7,3,0,0
output/screenshots\1718764782.6131544.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764783.2456343.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764783.9206576.png,4,6,4,0,4,6,4,0,0
output/screenshots\1718764784.5701802.png,4,4,3,0,4,4,3,0,0
output/screenshots\1718764785.2310798.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764785.8850765.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764786.53804.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764787.190353.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764787.844316.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764788.51392.png,4,6,3,0,4,6,3,0,0
output/screenshots\1718764789.1780305.png,4,5,3,0,4,5,3,0,0
output/screenshots\1718764789.8534942.png,3,4,3,0,3,4,3,0,0
output/screenshots\1718764790.513698.png,3,3,3,0,3,3,3,0,0
output/screenshots\1718764791.1693408.png,2,3,3,0,2,3,3,0,0
output/screenshots\1718764791.8612885.png,2,3,4,0,2,3,4,0,0
output/screenshots\1718764792.5400054.png,2,3,4,0,2,3,4,0,0
output/screenshots\1718764793.2178385.png,2,3,4,0,2,3,4,0,0
output/screenshots\1718764793.8760028.png,2,3,5,0,2,3,5,0,0
output/screenshots\1718764794.5398324.png,2,3,5,0,2,3,5,0,0
output/screenshots\1718764795.2026136.png,2,3,5,0,2,3,5,0,0
output/screenshots\1718764795.8646529.png,2,3,5,0,2,3,5,0,0
output/screenshots\1718764796.5418956.png,2,3,5,0,2,3,5,0,0
output/screenshots\1718764797.2054102.png,2,3,5,0,2,3,5,0,0
output/screenshots\1718764797.863994.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764798.5099473.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764799.164038.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764799.8293314.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764800.494438.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764801.1577768.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764816.8500955.png,5,17,11,0,5,17,11,0,0
output/screenshots\1718764817.4859142.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764818.0952516.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764818.7627618.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764819.4132724.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764820.0844426.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764820.7365687.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764821.3976302.png,5,15,11,0,5,15,11,0,0
output/screenshots\1718764822.0532825.png,5,16,11,0,5,16,11,0,0
output/screenshots\1718764822.7351778.png,5,14,11,0,5,14,11,0,0
output/screenshots\1718764823.3977444.png,5,13,11,0,5,13,11,0,0
output/screenshots\1718764824.058608.png,5,13,11,0,5,13,11,0,0
output/screenshots\1718764824.7077725.png,5,13,11,0,5,13,11,0,0
output/screenshots\1718764825.378929.png,5,13,11,0,5,13,11,0,0
output/screenshots\1718764826.0566633.png,5,13,11,0,5,13,11,0,0
output/screenshots\1718764826.727851.png,5,13,12,0,5,13,12,0,0
output/screenshots\1718764827.3845537.png,5,13,12,0,5,13,12,0,0
output/screenshots\1718764828.057636.png,5,13,12,0,5,13,12,0,0
output/screenshots\1718764828.7339559.png,5,13,12,0,5,13,12,0,0
output/screenshots\1718764829.3987288.png,5,12,12,0,5,12,12,0,0
output/screenshots\1718764830.0679226.png,5,12,12,0,5,12,12,0,0
output/screenshots\1718764830.7228086.png,5,12,12,1,5,12,12,1,0
output/screenshots\1718764831.3808832.png,5,12,12,0,5,12,12,0,0
output/screenshots\1718764832.027849.png,5,12,12,0,5,12,12,0,0
output/screenshots\1718764832.6955879.png,5,11,12,0,5,11,12,0,0
output/screenshots\1718764833.3670151.png,5,10,12,0,5,10,12,0,0
output/screenshots\1718764834.0424795.png,4,10,11,0,4,10,11,0,0
output/screenshots\1718764834.7139215.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764835.3560112.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764836.024302.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764836.700098.png,3,7,9,0,3,7,9,0,0
output/screenshots\1718764837.3542087.png,3,7,10,0,3,7,10,0,0
output/screenshots\1718764838.015448.png,2,7,5,0,2,7,5,0,0
output/screenshots\1718764838.6982791.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764839.3732717.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764840.0383463.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764840.6917133.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764841.354194.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764842.016836.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764842.7348983.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764843.391203.png,2,4,5,0,2,4,5,0,0
output/screenshots\1718764844.060876.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764844.7268026.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764845.3976197.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764846.056552.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764846.7166495.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764847.4053626.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764848.0918598.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764848.7667718.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764849.4394832.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764850.1093102.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764850.767768.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764851.4175844.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764852.0722115.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764852.7376595.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764853.4090502.png,1,3,2,0,1,3,2,0,0
output/screenshots\1718764854.0588431.png,1,3,2,0,1,3,2,0,0
output/screenshots\1718764854.7165527.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764855.3992684.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764856.0578215.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764912.1141698.png,5,17,18,0,5,17,18,0,0
output/screenshots\1718764912.7421243.png,5,17,18,0,5,17,18,0,0
output/screenshots\1718764913.3472507.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764913.9961364.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764914.640978.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764915.3029745.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764915.9984999.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764916.6640997.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764917.3389719.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764918.0227907.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764918.7446718.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764919.4334083.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764920.1186275.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764920.7873423.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764921.4684653.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764922.1612024.png,5,17,18,0,5,17,18,0,0
output/screenshots\1718764922.8439279.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764923.5075736.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764924.1616883.png,5,16,18,0,5,16,18,0,0
output/screenshots\1718764924.8306224.png,5,13,18,0,5,13,18,0,0
output/screenshots\1718764925.5022638.png,5,13,18,0,5,13,18,0,0
output/screenshots\1718764926.183163.png,5,13,18,0,5,13,18,0,0
output/screenshots\1718764926.8557663.png,4,11,12,0,4,11,12,0,0
output/screenshots\1718764927.5235472.png,4,11,12,0,4,11,12,0,0
output/screenshots\1718764928.1905837.png,4,12,12,0,4,12,12,0,0
output/screenshots\1718764928.8895717.png,4,11,12,0,4,11,12,0,0
output/screenshots\1718764929.546703.png,4,11,12,0,4,11,12,0,0
output/screenshots\1718764930.2218091.png,4,10,12,0,4,10,12,0,0
output/screenshots\1718764930.901692.png,4,11,12,0,4,11,12,0,0
output/screenshots\1718764931.5923705.png,4,10,12,0,4,10,12,0,0
output/screenshots\1718764932.2607327.png,3,9,8,0,3,9,8,0,0
output/screenshots\1718764932.9902484.png,3,10,8,0,3,10,8,0,0
output/screenshots\1718764933.68616.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764934.3629577.png,5,9,9,0,5,9,9,0,0
output/screenshots\1718764935.0373216.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764935.7109964.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764936.3829567.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764937.0712297.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764937.7429993.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764938.4229255.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764939.1137009.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764939.7975268.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764940.4981096.png,3,8,6,0,3,8,6,0,0
output/screenshots\1718764941.2322402.png,3,7,7,0,3,7,7,0,0
output/screenshots\1718764941.9261127.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764942.6258962.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764943.2941053.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764943.9885461.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764944.6723986.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764945.3593597.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764946.0305014.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764946.7235637.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764947.39052.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764948.0658042.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764948.7444022.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764949.4273958.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764950.0995753.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764950.7931442.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764951.4884276.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764952.1575663.png,3,10,9,1,3,10,9,1,0
output/screenshots\1718764952.8557742.png,3,10,9,1,3,10,9,1,0
output/screenshots\1718764953.549578.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764954.2192197.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764954.9241488.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764955.6027808.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764956.3527408.png,3,9,9,1,3,9,9,1,0
output/screenshots\1718764957.1015987.png,3,9,9,1,3,9,9,1,0
output/screenshots\1718764957.8548508.png,3,9,9,2,3,9,9,2,0
output/screenshots\1718764958.5959244.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764959.3148336.png,3,8,9,2,3,8,9,2,0
output/screenshots\1718764960.0163002.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764960.6957443.png,3,10,9,0,3,10,9,0,0
output/screenshots\1718764961.3816876.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764962.038596.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764962.7157233.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764963.3915043.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764964.067428.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764964.7406878.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764965.422657.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764966.0950332.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764966.7623336.png,3,9,9,0,3,9,9,0,0
output/screenshots\1718764967.4361026.png,3,8,9,1,3,8,9,1,0
output/screenshots\1718764968.0974238.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764968.77912.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764969.451611.png,3,8,9,0,3,8,9,0,0
output/screenshots\1718764970.1114664.png,2,4,6,0,2,4,6,0,0
output/screenshots\1718764970.7785652.png,2,4,6,0,2,4,6,0,0
output/screenshots\1718764971.4425764.png,2,4,6,0,2,4,6,0,0
output/screenshots\1718764972.1249156.png,2,4,6,0,2,4,6,0,0
output/screenshots\1718764972.8121703.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764973.4742696.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764974.1403356.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764974.8071337.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764975.4993918.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764976.1659644.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764976.827621.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764977.4990706.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764978.152365.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764978.8399913.png,2,5,6,0,2,5,6,0,0
output/screenshots\1718764979.5158358.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764980.1994264.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764980.8704872.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764981.5492294.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764982.2328463.png,1,3,2,0,1,3,2,0,0
output/screenshots\1718764982.9858897.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764983.7469628.png,1,2,2,0,1,2,2,0,0
output/screenshots\1718764984.418508.png,1,1,3,0,1,1,3,0,0
output/screenshots\1718764985.1014762.png,1,2,3,0,1,2,3,0,0
output/screenshots\1718764985.7727084.png,1,2,3,0,1,2,3,0,0
output/screenshots\1718764986.443235.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718764987.1235332.png,0,0,0,0,0,0,0,0,0
output/screenshots\1718765009.1710272.png,5,17,25,0,5,17,25,0,0
output/screenshots\1718765009.7962677.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765010.416277.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765011.0870109.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765011.7686653.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765012.415117.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765013.1058156.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765013.7699397.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765014.4334195.png,5,16,25,0,5,16,25,0,0
output/screenshots\1718765015.0913181.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765015.7640767.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765016.4120693.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765017.095868.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765017.7753649.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765018.4479482.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765019.134233.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765019.8103156.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765020.4756048.png,5,15,25,0,5,15,25,0,0
output/screenshots\1718765021.1409237.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765021.8955848.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765022.6379695.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765023.3927114.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765024.1044757.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765024.7731395.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765025.4375186.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765026.1018214.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765026.7635386.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765027.4233646.png,5,14,25,0,5,14,25,0,0
output/screenshots\1718765028.0794158.png,5,13,25,0,5,13,25,0,0
output/screenshots\1718765028.7571695.png,5,13,25,0,5,13,25,0,0
output/screenshots\1718765029.441735.png,5,13,25,0,5,13,25,0,0
output/screenshots\1718765030.111286.png,5,11,25,0,5,11,25,0,0
output/screenshots\1718765030.7788773.png,5,11,18,1,5,11,18,1,0
output/screenshots\1718765031.4509757.png,5,12,18,1,5,12,18,1,0
output/screenshots\1718765032.1041474.png,5,11,18,1,5,11,18,1,0
output/screenshots\1718765032.7869906.png,3,8,9,1,3,8,9,1,0
output/screenshots\1718765033.4469151.png,3,8,9,1,3,8,9,1,0
output/screenshots\1718765034.1100943.png,3,7,9,0,3,7,9,0,0
output/screenshots\1718765034.767014.png,3,7,9,0,3,7,9,0,0
